image_id,cafe_name,filename,github_url,upload_timestamp
2,공차 강남글라스점,image_2_5031c84f.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_2_5031c84f.jpg?token=ACOL25233NM3IBT4ELGFSZDJBCZJS,2025-11-03 22:47:10
3,강남커피 강남점,image_3_7c710e6e.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_3_7c710e6e.jpg?token=ACOL25YKSUCBCLJV26E5SBTJBCZJ2,2025-11-03 22:47:13
4,강남커피 강남점,image_4_05443232.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_4_05443232.jpg?token=ACOL256OGIOAOTSUYRKML5LJBCZJ6,2025-11-03 22:47:15
5,강남커피 강남점,image_5_e7659044.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_5_e7659044.jpg?token=ACOL254GW3REH7FF3OCJYVTJBCZKE,2025-11-03 22:47:18
6,강남커피 강남점,image_6_7765c1ad.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_6_7765c1ad.jpg?token=ACOL2567GZBIOCTEA5UJVTLJBCZKI,2025-11-03 22:47:20
7,강남커피 강남점,image_7_99f21906.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_7_99f21906.jpg?token=ACOL255HRZJVDZEZNTF4Q3TJBCZKO,2025-11-03 22:47:24
8,스타벅스 강남오거리점,image_8_8b6116fb.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_8_8b6116fb.jpg?token=ACOL25YV6UZTDF42XW52HR3JBCZKW,2025-11-03 22:47:27
9,스타벅스 강남오거리점,image_9_ed6e4742.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_9_ed6e4742.jpg?token=ACOL257YKBB6FVMYS7ZWX2LJBCZK4,2025-11-03 22:47:30
10,스타벅스 강남오거리점,image_10_53f4d848.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_10_53f4d848.jpg?token=ACOL254RUDGL4GTQYY5G6Q3JBCZLA,2025-11-03 22:47:32
11,스타벅스 강남오거리점,image_11_197b8621.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_11_197b8621.jpg?token=ACOL2577HMSTRO25JPKIZCDJBCZLI,2025-11-03 22:47:36
12,스타벅스 강남오거리점,image_12_db961948.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_12_db961948.jpg?token=ACOL2553M2VGEHEVUCD46M3JBCZLO,2025-11-03 22:47:39
15,베이커스트 브라운,image_15_1c77aa65.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_15_1c77aa65.jpg?token=ACOL25ZECKEE5RATPAVFR4TJBCZLU,2025-11-03 22:47:43
16,베이커스트 브라운,image_16_d908939f.jpg,https://raw.githubusercontent.com/Coffice-Official/Coffice-Operating-Tool/main/cafe-image/image_16_d908939f.jpg?token=ACOL252I6V5AK4TKRMOLYF3JBCZL2,2025-11-03 22:47:45
